UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
116350, 2,"R",276,"A",,"A",,"R",276,"A",,"A",,"A",,"A",,"A",
116439, 1,"R",14147,"R",1566,"R",3168,"R",9413,"R",1490,"R",0,"R",41,"R",35,"R",0
116439, 2,"R",14147,"R",1566,"R",3168,"R",9413,"R",1490,"R",0,"R",41,"R",35,"R",0
116439, 3,"R",12281,"R",1237,"R",3010,"R",8034,"R",1173,"R",0,"R",35,"R",29,"R",0
116439,11,"R",1866,"R",329,"R",158,"R",1379,"R",317,"R",0,"R",6,"R",6,"R",0
116563, 1,"R",173,"A",,"A",,"R",173,"A",,"A",,"A",,"A",,"A",
116563, 2,"R",173,"A",,"A",,"R",173,"A",,"A",,"A",,"A",,"A",
116712, 1,"R",954,"R",97,"R",214,"R",643,"R",49,"R",46,"R",2,"R",0,"R",0
116712, 2,"R",136,"R",11,"R",64,"R",61,"R",11,"R",0,"R",0,"R",0,"R",0
116712, 3,"R",136,"R",11,"R",64,"R",61,"R",11,"R",0,"R",0,"R",0,"R",0
116712,12,"R",818,"R",86,"R",150,"R",582,"R",38,"R",46,"R",2,"R",0,"R",0
116846, 1,"R",159,"A",,"A",,"R",159,"A",,"A",,"A",,"A",,"A",
116846, 2,"R",65,"A",,"A",,"R",65,"A",,"A",,"A",,"A",,"A",
116846, 3,"R",63,"A",,"A",,"R",63,"A",,"A",,"A",,"A",,"A",
116846,11,"R",2,"A",,"A",,"R",2,"A",,"A",,"A",,"A",,"A",
116846,12,"R",94,"A",,"A",,"R",94,"A",,"A",,"A",,"A",,"A",
117052, 1,"R",10052,"R",1085,"R",1120,"R",7847,"R",1075,"R",0,"R",9,"R",1,"R",0
117052, 2,"R",10052,"R",1085,"R",1120,"R",7847,"R",1075,"R",0,"R",9,"R",1,"R",0
117052, 3,"R",7899,"R",853,"R",1015,"R",6031,"R",844,"R",0,"R",8,"R",1,"R",0
117052,11,"R",2153,"R",232,"R",105,"R",1816,"R",231,"R",0,"R",1,"R",0,"R",0
117104, 1,"R",627,"R",122,"R",147,"R",358,"R",47,"R",73,"Z",0,"R",2,"R",0
117104, 2,"R",566,"R",98,"R",110,"R",358,"R",33,"R",65,"Z",0,"Z",0,"R",0
117104, 3,"R",534,"R",69,"R",110,"R",355,"R",25,"R",44,"Z",0,"Z",0,"R",0
117104,11,"R",32,"R",29,"Z",0,"R",3,"R",8,"R",21,"Z",0,"Z",0,"R",0
117104,12,"R",61,"R",24,"R",37,"R",0,"R",14,"R",8,"Z",0,"R",2,"R",0
